GEOID,population,pct_poverty,pct_age_65_plus,pct_disability,pct_no_vehicle,pct_limited_english,inundated_fraction,inundation_mean_m,inundation_max_m,exposed_population,vulnerability_index,resilience_index,risk_score,priority_rank
13051011006,3920,2.2193548387096773,53.18877551020408,13.998970663921769,2.6424870466321244,2.3413111342351716,0.6136856181122331,0.964672902146607,2.8580000400543213,1972.3126780995215,0.43023255813953487,0.4659090909090909,0.6722383720930233,17
13051011005,5470,2.6325411334552102,50.786106032906766,11.46252285191956,0.0,2.1626794258373208,0.799248275577217,1.3371008758084846,2.8580000400543213,4096.014086867461,0.3511627906976744,0.06818181818181818,0.7624207188160677,5
13051010821,2363,3.5214255409418755,20.270842149809564,15.530136383633963,2.3863636363636367,3.801945181255526,0.008886890230845004,0.01775047808338005,9.680509567260742,4.285231768906617,0.4279069767441861,0.19886363636363635,0.44347912262156447,57
13051011115,2940,1.6666666666666667,20.918367346938776,5.034013605442176,0.6161971830985915,0.0,0.6039087371772197,0.8074398198111301,2.8580000400543213,1392.4745468642823,0.1825581395348837,0.5397727272727273,0.5583707716701903,34
13051010817,4210,14.133016627078385,12.779097387173396,11.918465227817746,4.878048780487805,9.67098703888335,0.01828110161443495,0.003287031793752853,0.4101985692977905,81.65066878587575,0.5,0.19886363636363635,0.5269225687103594,39
13051011800,2015,34.78908188585608,12.555831265508685,9.540636042402827,11.605206073752711,2.75974025974026,0.5505747126436782,0.7945221302317477,2.8580000400543213,904.6499815293683,0.5279069767441861,0.6818181818181818,0.6137684989429176,25
13051010815,3528,7.4801994719859195,7.369614512471655,13.246162592382035,20.031421838177533,4.411764705882353,0.36774484390848644,0.18140296305998005,2.754554510116577,1364.240024644055,0.4627906976744187,0.23295454545454544,0.6939415961945032,13
13051011110,1568,6.147540983606557,34.50255102040816,14.275956284153004,0.9762900976290098,0.0,0.9062179586218521,1.558166144183759,2.956946849822998,1005.8138274308468,0.34302325581395354,0.03409090909090909,0.7252246300211417,9
13051010818,2975,39.65936739659367,8.672268907563026,14.560161779575328,6.256517205422315,0.564516129032258,0.1571401077752117,0.09446846314285057,8.173673629760742,437.7619008963125,0.45116279069767445,0.10795454545454546,0.6326968816067653,22
13051010812,5759,2.8650807431845804,26.237193957284248,14.377496093071715,1.4783023366714354,5.179663608562691,0.05964485178290133,0.015018269366322112,0.7845005989074707,341.86752716339663,0.46744186046511627,0.30113636363636365,0.5548031183932347,35
13051010503,2195,23.292067858780378,8.656036446469248,14.851936218678816,13.374233128834357,15.838509316770185,0.2579256360078278,0.12168423727233882,13.01163387298584,497.3943468692224,0.6325581395348837,0.4375,0.6875991014799154,15
13051010504,4890,21.086077411900636,3.1083844580777096,18.994082840236686,2.784048156508653,22.583316083626578,0.044009057792655314,0.008723916011120937,0.8329734802246094,115.51631276639645,0.5558139534883721,0.625,0.4778012684989429,47
13051011900,1789,11.48018648018648,34.09726103968698,13.260619977037887,20.729166666666668,1.0807736063708762,0.0,0.0,0.0,0.0,0.5790697674418606,0.6477272727272727,0.3304704016913319,69
13051011113,3861,7.178543255324743,24.112924112924112,16.618459111227978,3.43027591349739,0.24019215372297836,0.8294035197009811,1.4121670579524115,2.8580000400543213,1782.654681751926,0.41395348837209306,0.26136363636363635,0.7230443974630021,10
13051011111,1785,8.291316526610643,46.666666666666664,24.14565826330532,1.1655011655011656,0.0,0.2631733882837798,0.28377880925882343,2.8580000400543213,453.65839423887417,0.4755813953488372,0.017045454545454544,0.7026625264270614,12
13051010813,4969,7.305463576158941,19.561279935600727,20.59426229508197,6.171735241502684,15.583872989346146,0.18404128622469235,0.05993875110371807,2.0892086029052734,932.139254823686,0.6465116279069768,0.045454545454545456,0.8014667019027484,2
13051010814,5111,17.64820974369008,8.100176090784581,13.548255458069782,7.799274486094316,7.6655808903365905,0.5752953574796161,0.35651278476613524,2.7658731937408447,2576.488744626524,0.5255813953488373,0.19886363636363635,0.7884183403805497,3
13051011112,2907,4.065323141070188,22.738218094255245,12.513070756361103,5.774647887323944,0.25207057976233344,0.031191806331471134,0.010457099261008605,0.48637354373931885,81.61100196463654,0.35813953488372097,0.14772727272727273,0.4755549682875264,49
13051002100,2124,15.3954802259887,15.725047080979285,14.783427495291901,19.476439790575917,1.5602145294978058,0.0,0.0,0.0,0.0,0.5651162790697675,0.7727272727272727,0.2890459830866807,79
13051010801,3821,8.793509552473175,16.199947657681236,24.783180026281208,1.5451174289245984,3.115175764504144,0.0018430279600827116,0.00447653399186416,6.199015140533447,7.576711096631724,0.516279069767442,0.30113636363636365,0.46164772727272724,54
13051011600,2256,15.159574468085108,9.308510638297872,34.70744680851064,14.145658263305322,7.654209815398469,0.018271461716937356,0.006521905433135907,1.1406667232513428,46.288058897102935,0.6930232558139535,0.5,0.5451242071881607,38
13051011300,2140,48.69158878504673,5.5607476635514015,15.86335985025737,16.55480984340045,1.676270298585647,0.0,0.0,0.0,0.0,0.5720930232558139,0.7215909090909091,0.3090975158562368,73
13051011400,1814,24.026696329254726,23.26350606394708,22.75515895147797,20.927936821322803,0.9371554575523704,0.0,0.0,0.0,0.0,0.7511627906976744,0.7897727272727273,0.3763543868921776,66
13051990000,0,,,,,,0.9999251565204941,1.8117051314003139,2.956946849822998,0.0,,0.017045454545454544,,
13051010701,4277,6.508620689655173,9.656301145662848,24.329004329004327,4.222451081359424,3.415924945874429,0.38048662272198525,0.28903492693292765,3.0223965644836426,1171.0772851986296,0.4767441860465117,0.4375,0.6630880021141649,18
13051010811,6415,6.952455183164457,16.632891660171474,22.69066792989105,2.8514056224899598,6.256206554121152,0.007608148893360161,0.002001374219759729,0.9684953689575195,22.335965435041714,0.5604651162790698,0.4034090909090909,0.4764468816067653,48
13051011700,3246,53.39578454332553,9.02649414664202,15.720930232558139,20.705346985210465,6.532988357050453,0.12189936215450035,0.23564828578501537,3.3447265625,360.89713728503625,0.6953488372093023,0.5625,0.6488834566596194,19
13051010704,5280,3.640916971681757,10.795454545454545,20.599097250718096,3.6095764272559854,3.54,0.0,0.0,0.0,0.0,0.4348837209302326,0.2840909090909091,0.3370771670190275,68
13051010705,4361,5.617977528089887,15.684476037606053,15.308242900023089,2.5279533300923673,2.889324191968658,0.0,0.0,0.0,0.0,0.39534883720930236,0.23295454545454544,0.32660544397463004,70
13051010707,4393,1.5706806282722512,8.012747552925108,9.981642955484167,0.0,1.3671875,0.0,0.0,0.0,0.0,0.13023255813953488,0.10795454545454546,0.30262288583509517,75
13051010702,8072,12.703624194974115,7.953419226957384,13.328360064652491,2.4186324275903255,3.426263678999479,0.021937130098876562,0.008569853557695229,1.7459533214569092,216.82660927019722,0.34883720930232565,0.07954545454545454,0.5052193446088795,44
13051011008,3863,11.27858627858628,15.661403054620763,8.89874739039666,4.330175913396482,1.5184381778741864,0.35016296296296295,0.4847503955805743,2.8580000400543213,1738.1545049905822,0.3488372093023256,0.5625,0.564779334038055,33
13051010820,2560,10.703125,20.6640625,11.37577002053388,2.5906735751295336,0.0,0.0,0.0,0.0,0.0,0.308139534883721,0.14772727272727273,0.31302854122621565,72
13051011007,2559,12.192262602579133,28.565846033606878,13.442751074638531,2.418682235195997,9.079704190632704,0.5470147891181304,0.8586848883193972,2.8580000400543213,1373.2707102927075,0.5697674418604651,0.32954545454545453,0.7507928118393234,8
13051011114,2120,8.088930936613057,11.132075471698114,13.859480269489893,0.5263157894736842,4.635441815548044,0.19224402932135257,0.20981391612506414,2.8580000400543213,407.55734216126746,0.34883720930232565,0.3806818181818182,0.5265261627906976,40
13051010810,5839,10.991341226365083,15.327967117657131,9.900644936377898,4.56950456950457,16.199317923455855,0.0034605107538656973,0.00024328391495262298,0.1877535581588745,7.664948133424436,0.47674418604651164,0.4034090909090909,0.43006738900634245,59
13051010706,1773,5.02540937323546,3.778905809362662,1.1459589867310012,8.036890645586297,2.2560975609756095,0.042263610315186245,0.3516883915936025,17.71172332763672,74.93338108882521,0.2627906976744186,0.14772727272727273,0.446353065539112,55
13051010703,6674,11.372490260713215,3.611027869343722,10.27869343721906,6.416698879010436,1.3584785040754355,0.0,0.0,0.0,0.0,0.3023255813953489,0.09090909090909091,0.321419133192389,71
13051010816,2351,11.9523606975755,13.44108889834113,14.972352190557208,0.8918617614269788,1.7748715553479684,0.20926517571884984,0.05436808556413498,0.6095647215843201,491.982428115016,0.37209302325581395,0.056818181818181816,0.6347119450317125,21
13051010806,6299,12.39879345927925,11.176377202730592,13.886146758802237,9.509083880943177,2.5458248472505094,0.6121005762179151,0.5052079912066272,2.8580000400543213,2716.3467701713184,0.472093023255814,0.26136363636363635,0.7551532769556025,7
13051004210,4397,10.871048442119626,11.280418467136684,20.15574896930829,8.376715570279224,0.5080010160020321,0.09132841328413284,0.06028665360269511,2.338268756866455,262.13107077184765,0.45116279069767445,0.5852272727272727,0.47928779069767435,45
13051004212,5595,13.061916878710772,17.926720285969616,19.395465994962215,8.951651507898516,4.90786009778112,0.2467774276711544,0.19545430069630823,2.8574604988098145,820.5527819361807,0.6697674418604652,0.3181818181818182,0.7579941860465116,6
13051004211,4403,11.113772455089821,20.622302975244153,20.159962361797223,4.060324825986079,4.391408114558472,0.0,0.0,0.0,0.0,0.6116279069767442,0.36363636363636365,0.41457452431289643,62
13051003602,4250,28.171334431630974,13.105882352941176,16.611764705882354,5.894627021387585,1.5953589557650472,0.12444444444444444,0.08328662842039078,2.179894208908081,249.76681541082553,0.541860465116279,0.8125,0.4790235200845666,46
13051003800,2747,17.408506429277942,11.030214779759739,17.87404441208591,4.670329670329671,1.4667168108311395,0.0,0.0,0.0,0.0,0.4813953488372093,0.9090909090909091,0.21571088794926005,84
13051003900,4109,28.94867962132536,13.093210026770505,14.200595829195631,12.70718232044199,1.9402985074626864,0.055114200595829194,0.018774145498294696,1.3271254301071167,150.3920893393652,0.5651162790697675,0.8352272727272727,0.44387552854122625,56
13051004001,3833,10.892667375132838,25.2021914949126,23.462050599201064,12.546320804658551,10.944860072042118,0.033388429752066115,0.01044800760332218,0.7448188066482544,59.616711383671905,0.7744186046511627,0.9943181818181818,0.4616477272727273,53
13051004002,4069,22.669383596535912,17.743917424428606,17.179944006108425,5.173427395649618,2.4799793335055544,0.1578529878371232,0.07775210494215938,1.2076966762542725,834.890051789251,0.6116279069767443,0.8125,0.57660544397463,29
