preset,scenario,population_in_priority,vulnerable_population_in_priority,mean_inundation_m,top_geoids,displaced_geoids
svi_equal,surge_1_5m,43845,26647,0.78374191556902,13051010901 13051010813 13051010814 13051004209 13051011005 13051004212 13051010806 13051011007 13051011110 13051011113,13051010503 13051010815 13051011104 13051011111
svi_themes,surge_1_5m,41414,20688,0.7086367167006812,13051010814 13051010901 13051010806 13051004209 13051011113 13051011005 13051010813 13051010815 13051010503 13051011110,13051004212 13051011007 13051011104 13051011111
evacuation_capacity,surge_1_5m,42009,19700,0.74652792728399,13051010813 13051011005 13051011113 13051010814 13051010901 13051011110 13051010806 13051011111 13051011104 13051004209,13051004212 13051010503 13051010815 13051011007
svi_equal,surge_3_0m,41769,26647,1.6068144711440913,13051010813 13051010814 13051011005 13051004209 13051010901 13051010806 13051011007 13051011111 13051011110 13051004212,13051010815 13051011104 13051011113
svi_themes,surge_3_0m,41004,18493,1.7242086416584628,13051010814 13051010806 13051010815 13051011005 13051010901 13051004209 13051010813 13051011113 13051011111 13051011110,13051004212 13051011007 13051011104
evacuation_capacity,surge_3_0m,40406,18097,1.6965673179200127,13051010813 13051011111 13051011005 13051011104 13051010814 13051010806 13051011113 13051011110 13051011007 13051004209,13051004212 13051010815 13051010901
svi_equal,surge_5_0m,42366,16890,3.0780768335351594,13051010813 13051010814 13051011005 13051010806 13051011104 13051011111 13051004209 13051011007 13051011113 13051010815,13051000601 13051011108 13051011112
svi_themes,surge_5_0m,43121,14738,2.763570645900623,13051010814 13051010806 13051010813 13051010815 13051011005 13051011113 13051011112 13051000601 13051011104 13051011111,13051004209 13051011007 13051011108
evacuation_capacity,surge_5_0m,41067,11287,3.0759400643479315,13051010813 13051011005 13051011104 13051011113 13051011111 13051010806 13051010814 13051011112 13051010815 13051011108,13051000601 13051004209 13051011007
